| 1  | Iggy                   | -1  | Male   |Truffle-flavoured Poultry Supreme              |
| 2  | Muhammad Avdol         | 29  | Male   |Spring Organic Omelette                        |
| 3  | Donatello Versus       | 25  | Male   |Spring Organic Omelette                        |
| 4  | Aya Tsuji              | -1  | Female |Truffle-flavoured Poultry Supreme              |
| 5  | Mikitaka Hazekura      | 216 | Male   |Spring Lobster Salad                           |
| 6  | Reimi Sugimoto         | 16  | Female |White Asparagus                                |
| 7  | Tamami Kobayashi       | 20  | Male   |Spring Organic Omelette                        |
| 8  | Yukako Yamagishi       | -1  | Female |Truffle-flavoured Poultry Supreme              |
| 9  | Masazo Kinoto          | 29  | Male   |Sampling Matured Cheese Platter                |
| 10 | Yoshihiro Kira         | -1  | Male   |Sampling Matured Cheese Platter                |
| 11 | Guido Mista            | 18  | Male   |Truffle-flavoured Poultry Supreme              |
| 12 | Narancia Ghirga        | 17  | Male   |Spring Organic Omelette                        |
| 13 | Trish Una              | 15  | Female |Truffle-flavoured Poultry Supreme              |
| 14 | Mario Zucchero         | 24  | Male   |Truffle-flavoured Poultry Supreme              |
| 15 | Prosciutto             | -1  | Male   |Spring Lobster Salad                           |
| 16 | Risotto Nero           | 28  | Male   |Sampling Matured Cheese Platter                |
| 17 | Tizzano                | -1  | Male   |White Asparagus                                |
| 18 | Foo Fighters           | 22  | Female |Spring Lobster Salad                           |
