| 1  | Erina Pendleton        | 70  | Female |Truffle-flavoured Poultry Supreme              |
| 2  | Jolyne Cujoh           | 19  | Female |White Asparagus                                |
| 3  | Joseph Joestar         | 18  | Male   |White Asparagus                                |
| 4  | Lisa Lisa              | 50  | Female |Spring Organic Omelette                        |
| 5  | Iggy                   | -1  | Male   |Truffle-flavoured Poultry Supreme              |
| 6  | Jean Pierre Polnareff  | 24  | Male   |Spring Organic Omelette                        |
| 7  | DIO                    | 121 | Male   |Spring Lobster Salad                           |
| 8  | Toshikazu Hazamada     | 18  | Male   |Spring Organic Omelette                        |
| 9  | Yukako Yamagishi       | -1  | Female |Truffle-flavoured Poultry Supreme              |
| 10 | Emporio Alnino         | 11  | Male   |Spring Lobster Salad                           |
| 11 | Ermes Costello         | 21  | Female |White Asparagus                                |
