| 1  | Joseph Joestar         | 18  | Male   |Sampling Matured Cheese Platter                |
| 2  | Tomoko Higashikata     | 37  | Female |Sampling Matured Cheese Platter                |
| 3  | Jean Pierre Polnareff  | 24  | Male   |Spring Lobster Salad                           |
| 4  | Koichi Hirose          | 15  | Male   |Spring Lobster Salad                           |
| 5  | Mikitaka Hazekura      | 216 | Male   |White Asparagus                                |
| 6  | Okuyasu Nijimura       | 15  | Male   |Spring Lobster Salad                           |
| 7  | Reimi Sugimoto         | 16  | Female |White Asparagus                                |
| 8  | Akira Otoishi          | 19  | Male   |Spring Organic Omelette                        |
| 9  | Anjuro Katagiri        | 34  | Male   |Spring Organic Omelette                        |
| 10 | Keicho Nijimura        | 18  | Male   |Truffle-flavoured Poultry Supreme              |
| 11 | Masazo Kinoto          | 29  | Male   |Sampling Matured Cheese Platter                |
| 12 | Yoshikage Kira         | 33  | Male   |White Asparagus                                |
| 13 | Carne                  | -1  | Male   |White Asparagus                                |
| 14 | Ghiaccio               | -1  | Male   |Spring Organic Omelette                        |
| 15 | Mario Zucchero         | 24  | Male   |Spring Lobster Salad                           |
| 16 | Sale                   | -1  | Male   |Sampling Matured Cheese Platter                |
| 17 | Ermes Costello         | 21  | Female |White Asparagus                                |
| 18 | Narciso Anasui         | 25  | Male   |White Asparagus                                |
