| 1  | Erina Pendleton        | 70  | Female |Truffle-flavoured Poultry Supreme              |
| 2  | Holy Kujo              | 45  | Female |Spring Organic Omelette                        |
| 3  | Suzi Q.                | -1  | Female |Truffle-flavoured Poultry Supreme              |
| 4  | Tomoko Higashikata     | 37  | Female |White Asparagus                                |
| 5  | Muhammad Avdol         | 29  | Male   |Spring Organic Omelette                        |
| 6  | Enya the Hag           | -1  | Female |Sampling Matured Cheese Platter                |
| 7  | Ungalo                 | 24  | Male   |Truffle-flavoured Poultry Supreme              |
| 8  | Vanilla Ice            | -1  | Male   |Spring Organic Omelette                        |
| 9  | Hayato Kawajiri        | 11  | Male   |Sampling Matured Cheese Platter                |
| 10 | Okuyasu Nijimura       | 15  | Male   |White Asparagus                                |
| 11 | Tonio Trussardi        | 29  | Male   |White Asparagus                                |
| 12 | Terunosuke Miyamoto    | -1  | Male   |Spring Organic Omelette                        |
| 13 | Yoshihiro Kira         | -1  | Male   |White Asparagus                                |
| 14 | Guido Mista            | 18  | Male   |Sampling Matured Cheese Platter                |
| 15 | Carne                  | -1  | Male   |Sampling Matured Cheese Platter                |
| 16 | Melone                 | -1  | Male   |White Asparagus                                |
| 17 | Emporio Alnino         | 11  | Male   |Spring Organic Omelette                        |
| 1  | Jolyne Cujoh           | 19  | Female |Sampling Matured Cheese Platter                |
| 2  | Suzi Q.                | -1  | Female |Spring Organic Omelette                        |
| 3  | Iggy                   | -1  | Male   |White Asparagus                                |
| 4  | Muhammad Avdol         | 29  | Male   |Spring Lobster Salad                           |
| 5  | Noriaki Kakyoin        | 17  | Male   |Spring Organic Omelette                        |
| 6  | Donatello Versus       | 25  | Male   |Truffle-flavoured Poultry Supreme              |
| 7  | Tonio Trussardi        | 29  | Male   |White Asparagus                                |
| 8  | Keicho Nijimura        | 18  | Male   |Sampling Matured Cheese Platter                |
| 9  | Ken Oyanagi            | 11  | Male   |Sampling Matured Cheese Platter                |
| 10 | Toyohiro Kanedaichi    | -1  | Male   |Spring Organic Omelette                        |
| 11 | Guido Mista            | 18  | Male   |Spring Lobster Salad                           |
| 12 | Risotto Nero           | 28  | Male   |Truffle-flavoured Poultry Supreme              |
| 13 | Weather Report         | 39  | Male   |White Asparagus                                |
| 1  | Joseph Joestar         | 18  | Male   |Sampling Matured Cheese Platter                |
| 2  | Tomoko Higashikata     | 37  | Female |Sampling Matured Cheese Platter                |
| 3  | Jean Pierre Polnareff  | 24  | Male   |Spring Lobster Salad                           |
| 4  | Koichi Hirose          | 15  | Male   |Spring Lobster Salad                           |
| 5  | Mikitaka Hazekura      | 216 | Male   |White Asparagus                                |
| 6  | Okuyasu Nijimura       | 15  | Male   |Spring Lobster Salad                           |
| 7  | Reimi Sugimoto         | 16  | Female |White Asparagus                                |
| 8  | Akira Otoishi          | 19  | Male   |Spring Organic Omelette                        |
| 9  | Anjuro Katagiri        | 34  | Male   |Spring Organic Omelette                        |
| 10 | Keicho Nijimura        | 18  | Male   |Truffle-flavoured Poultry Supreme              |
| 11 | Masazo Kinoto          | 29  | Male   |Sampling Matured Cheese Platter                |
| 12 | Yoshikage Kira         | 33  | Male   |White Asparagus                                |
| 13 | Carne                  | -1  | Male   |White Asparagus                                |
| 14 | Ghiaccio               | -1  | Male   |Spring Organic Omelette                        |
| 15 | Mario Zucchero         | 24  | Male   |Spring Lobster Salad                           |
| 16 | Sale                   | -1  | Male   |Sampling Matured Cheese Platter                |
| 17 | Ermes Costello         | 21  | Female |White Asparagus                                |
| 18 | Narciso Anasui         | 25  | Male   |White Asparagus                                |
