| 1  | DIO                    | 121 | Male   |Spring Organic Omelette                        |
| 2  | Okuyasu Nijimura       | 15  | Male   |Spring Lobster Salad                           |
| 3  | Erina Pendleton        | 70  | Female |Spring Organic Omelette                        |
| 4  | Trish Una              | 15  | Female |Truffle-flavoured Poultry Supreme              |
| 5  | Weather Report         | 39  | Male   |White Asparagus                                |
| 6  | Leone Abbacchio        | 21  | Male   |Truffle-flavoured Poultry Supreme              |
| 7  | Cioccolata             | 34  | Male   |Spring Organic Omelette                        |
| 8  | Foo Fighters           | 22  | Female |White Asparagus                                |
| 9  | Anjuro Katagiri        | 34  | Male   |White Asparagus                                |
| 10 | Donatello Versus       | 25  | Male   |Sampling Matured Cheese Platter                |
| 11 | Yoshikage Kira         | 33  | Male   |Truffle-flavoured Poultry Supreme              |
| 12 | Muhammad Avdol         | 29  | Male   |Spring Lobster Salad                           |
