| 1  | Giorno Giovanna        | 15  | Male   |Lamb Chops with Apple Sauce                    |
| 2  | Tomoko Higashikata     | 37  | Female |Caprese Salad                                  |
| 3  | Iggy                   | -1  | Male   |Spaghetti alla Puttanesca                      |
| 4  | Donatello Versus       | 25  | Male   |Spaghetti alla Puttanesca                      |
| 5  | Ungalo                 | 24  | Male   |Spaghetti alla Puttanesca                      |
| 6  | Koichi Hirose          | 15  | Male   |Creme caramel                                  |
| 7  | Okuyasu Nijimura       | 15  | Male   |Caprese Salad                                  |
| 8  | Tonio Trussardi        | 29  | Male   |Caprese Salad                                  |
| 9  | Ken Oyanagi            | 11  | Male   |Spaghetti alla Puttanesca                      |
| 10 | Masazo Kinoto          | 29  | Male   |Caprese Salad                                  |
| 11 | Pannacotta Fugo        | 16  | Male   |Lamb Chops with Apple Sauce                    |
| 12 | Trish Una              | 15  | Female |Caprese Salad                                  |
| 13 | Diavolo                | 33  | Male   |Spaghetti alla Puttanesca                      |
| 14 | Illuso                 | -1  | Male   |Lamb Chops with Apple Sauce                    |
| 15 | Melone                 | -1  | Male   |Spaghetti alla Puttanesca                      |
| 16 | Prosciutto             | -1  | Male   |Caprese Salad                                  |
| 17 | Risotto Nero           | 28  | Male   |Creme caramel                                  |
| 18 | Sale                   | -1  | Male   |Creme caramel                                  |
| 19 | Squalo                 | -1  | Male   |Caprese Salad                                  |
| 20 | Tizzano                | -1  | Male   |Creme caramel                                  |
| 21 | Narciso Anasui         | 25  | Male   |Caprese Salad                                  |
