| 1  | Jolyne Cujoh           | 19  | Female |Caprese Salad                                  |
| 2  | Jonathan Joestar       | 20  | Male   |Caprese Salad                                  |
| 3  | Josuke Higashikata     | 16  | Male   |DIO’s Bread                                    |
| 4  | Jean Pierre Polnareff  | 24  | Male   |Caprese Salad                                  |
| 5  | Donatello Versus       | 25  | Male   |Caprese Salad                                  |
| 6  | Enrico Pucci           | 39  | Male   |Caprese Salad                                  |
| 7  | Rikiel                 | 24  | Male   |Caprese Salad                                  |
| 8  | Ungalo                 | 24  | Male   |Spaghetti alla Puttanesca                      |
| 9  | Hayato Kawajiri        | 11  | Male   |Caprese Salad                                  |
| 10 | Mikitaka Hazekura      | 216 | Male   |Lamb Chops with Apple Sauce                    |
| 11 | Rohan Kishibe          | 20  | Male   |Creme caramel                                  |
| 12 | Toshikazu Hazamada     | 18  | Male   |Spaghetti alla Puttanesca                      |
| 13 | Ken Oyanagi            | 11  | Male   |Creme caramel                                  |
| 14 | Yoshihiro Kira         | -1  | Male   |Lamb Chops with Apple Sauce                    |
| 15 | Secco                  | -1  | Male   |Caprese Salad                                  |
| 16 | Squalo                 | -1  | Male   |Lamb Chops with Apple Sauce                    |
| 17 | Foo Fighters           | 22  | Female |Spaghetti alla Puttanesca                      |
