| 1  | Giorno Giovanna        | 15  | Male   |Creme caramel                                  |
| 2  | Erina Pendleton        | 70  | Female |Spaghetti alla Puttanesca                      |
| 3  | Weather Report         | 39  | Male   |Caprese Salad                                  |
| 4  | Trish Una              | 15  | Female |Spaghetti alla Puttanesca                      |
| 5  | Joseph Joestar         | 18  | Male   |Lamb Chops with Apple Sauce                    |
| 6  | Ermes Costello         | 21  | Female |Spaghetti alla Puttanesca                      |
| 7  | Enrico Pucci           | 39  | Male   |Lamb Chops with Apple Sauce                    |
| 8  | Toshikazu Hazamada     | 18  | Male   |Spaghetti alla Puttanesca                      |
| 9  | Anjuro Katagiri        | 34  | Male   |Spaghetti alla Puttanesca                      |
| 10 | Rohan Kishibe          | 20  | Male   |Caprese Salad                                  |
| 11 | Jean Pierre Polnareff  | 24  | Male   |Lamb Chops with Apple Sauce                    |
| 12 | Leone Abbacchio        | 21  | Male   |Caprese Salad                                  |
| 13 | Vanilla Ice            | -1  | Male   |Lamb Chops with Apple Sauce                    |
| 14 | Yukako Yamagishi       | -1  | Female |Lamb Chops with Apple Sauce                    |
