| 1  | Erina Pendleton        | 70  | Female |White Asparagus                                |
| 2  | Emporio Alnino         | 11  | Male   |Spring Lobster Salad                           |
| 3  | Anjuro Katagiri        | 34  | Male   |Spring Lobster Salad                           |
| 4  | Koichi Hirose          | 15  | Male   |Sampling Matured Cheese Platter                |
| 5  | Jonathan Joestar       | 20  | Male   |Sampling Matured Cheese Platter                |
| 6  | Okuyasu Nijimura       | 15  | Male   |Spring Organic Omelette                        |
| 7  | Joseph Joestar         | 18  | Male   |Truffle-flavoured Poultry Supreme              |
| 8  | Joseph Joestar         | 18  | Male   |Truffle-flavoured Poultry Supreme              |
| 9  | Guido Mista            | 18  | Male   |Spring Organic Omelette                        |
| 10 | Guido Mista            | 18  | Male   |Spring Organic Omelette                        |
| 11 | Suzi Q.                | -1  | Female |Truffle-flavoured Poultry Supreme              |
| 12 | Vanilla Ice            | -1  | Male   |Spring Organic Omelette                        |
| 13 | Prosciutto             | -1  | Male   |Spring Lobster Salad                           |
