| 1  | Ken Oyanagi            | 11  | Male   |Creme caramel                                  |
| 2  | Trish Una              | 15  | Female |Creme caramel                                  |
| 3  | DIO                    | 121 | Male   |Creme caramel                                  |
| 4  | Giorno Giovanna        | 15  | Male   |Creme caramel                                  |
| 5  | Diavolo                | 33  | Male   |Lamb Chops with Apple Sauce                    |
| 6  | Koichi Hirose          | 15  | Male   |Spaghetti alla Puttanesca                      |
| 7  | Jean Pierre Polnareff  | 24  | Male   |Caprese Salad                                  |
| 8  | Tamami Kobayashi       | 20  | Male   |Caprese Salad                                  |
| 9  | Iggy                   | -1  | Male   |Lamb Chops with Apple Sauce                    |
| 10 | Terunosuke Miyamoto    | -1  | Male   |Creme caramel                                  |
| 11 | Yoshihiro Kira         | -1  | Male   |Spaghetti alla Puttanesca                      |
| 12 | Illuso                 | -1  | Male   |Lamb Chops with Apple Sauce                    |
